city,city_slug,url
Anthem,anthem,https://www.seniorly.com/assisted-living/arizona/anthem
Apache Junction,apache-junction,https://www.seniorly.com/assisted-living/arizona/apache-junction
Avondale,avondale,https://www.seniorly.com/assisted-living/arizona/avondale
Buckeye,buckeye,https://www.seniorly.com/assisted-living/arizona/buckeye
Bullhead City,bullhead-city,https://www.seniorly.com/assisted-living/arizona/bullhead-city
Camp Verde,camp-verde,https://www.seniorly.com/assisted-living/arizona/camp-verde
Carefree,carefree,https://www.seniorly.com/assisted-living/arizona/carefree
Casa Grande,casa-grande,https://www.seniorly.com/assisted-living/arizona/casa-grande
Cave Creek,cave-creek,https://www.seniorly.com/assisted-living/arizona/cave-creek
Chandler,chandler,https://www.seniorly.com/assisted-living/arizona/chandler
Chandler Heights,chandler-heights,https://www.seniorly.com/assisted-living/arizona/chandler-heights
Chino Valley,chino-valley,https://www.seniorly.com/assisted-living/arizona/chino-valley
Clarkdale,clarkdale,https://www.seniorly.com/assisted-living/arizona/clarkdale
Cornville,cornville,https://www.seniorly.com/assisted-living/arizona/cornville
Cottonwood,cottonwood,https://www.seniorly.com/assisted-living/arizona/cottonwood
Dewey,dewey,https://www.seniorly.com/assisted-living/arizona/dewey
East Flagstaff,east-flagstaff,https://www.seniorly.com/assisted-living/arizona/east-flagstaff
El Mirage,el-mirage,https://www.seniorly.com/assisted-living/arizona/el-mirage
Eleven Mile Corner,eleven-mile-corner,https://www.seniorly.com/assisted-living/arizona/eleven-mile-corner
Flagstaff,flagstaff,https://www.seniorly.com/assisted-living/arizona/flagstaff
Fort Mohave,fort-mohave,https://www.seniorly.com/assisted-living/arizona/fort-mohave
Fountain Hills,fountain-hills,https://www.seniorly.com/assisted-living/arizona/fountain-hills
Gilbert,gilbert,https://www.seniorly.com/assisted-living/arizona/gilbert
Glendale,glendale,https://www.seniorly.com/assisted-living/arizona/glendale
Globe,globe,https://www.seniorly.com/assisted-living/arizona/globe
Gold Canyon,gold-canyon,https://www.seniorly.com/assisted-living/arizona/gold-canyon
Goodyear,goodyear,https://www.seniorly.com/assisted-living/arizona/goodyear
Green Valley,green-valley,https://www.seniorly.com/assisted-living/arizona/green-valley
Hereford,hereford,https://www.seniorly.com/assisted-living/arizona/hereford
Higley,higley,https://www.seniorly.com/assisted-living/arizona/higley
Kingman,kingman,https://www.seniorly.com/assisted-living/arizona/kingman
Lake Havasu,lake-havasu,https://www.seniorly.com/assisted-living/arizona/lake-havasu
Lake Havasu City,lake-havasu-city,https://www.seniorly.com/assisted-living/arizona/lake-havasu-city
Laveen,laveen,https://www.seniorly.com/assisted-living/arizona/laveen
Litchfield Park,litchfield-park,https://www.seniorly.com/assisted-living/arizona/litchfield-park
Marana,marana,https://www.seniorly.com/assisted-living/arizona/marana
Maricopa,maricopa,https://www.seniorly.com/assisted-living/arizona/maricopa
Mesa,mesa,https://www.seniorly.com/assisted-living/arizona/mesa
Mobile,mobile,https://www.seniorly.com/assisted-living/arizona/mobile
Oro Valley,oro-valley,https://www.seniorly.com/assisted-living/arizona/oro-valley
Paradise Valley,paradise-valley,https://www.seniorly.com/assisted-living/arizona/paradise-valley
Payson,payson,https://www.seniorly.com/assisted-living/arizona/payson
Peoria,peoria,https://www.seniorly.com/assisted-living/arizona/peoria
Phoenix,phoenix,https://www.seniorly.com/assisted-living/arizona/phoenix
Prescott,prescott,https://www.seniorly.com/assisted-living/arizona/prescott
Prescott Valley,prescott-valley,https://www.seniorly.com/assisted-living/arizona/prescott-valley
Queen Creek,queen-creek,https://www.seniorly.com/assisted-living/arizona/queen-creek
Rimrock,rimrock,https://www.seniorly.com/assisted-living/arizona/rimrock
Rio Verde,rio-verde,https://www.seniorly.com/assisted-living/arizona/rio-verde
Sacaton,sacaton,https://www.seniorly.com/assisted-living/arizona/sacaton
Sahuarita,sahuarita,https://www.seniorly.com/assisted-living/arizona/sahuarita
San Tan Valley,san-tan-valley,https://www.seniorly.com/assisted-living/arizona/san-tan-valley
Scottsdale,scottsdale,https://www.seniorly.com/assisted-living/arizona/scottsdale
Sierra Vista,sierra-vista,https://www.seniorly.com/assisted-living/arizona/sierra-vista
Sun City,sun-city,https://www.seniorly.com/assisted-living/arizona/sun-city
Sun City West,sun-city-west,https://www.seniorly.com/assisted-living/arizona/sun-city-west
Sun Lakes,sun-lakes,https://www.seniorly.com/assisted-living/arizona/sun-lakes
Surprise,surprise,https://www.seniorly.com/assisted-living/arizona/surprise
Tempe,tempe,https://www.seniorly.com/assisted-living/arizona/tempe
Tolleson,tolleson,https://www.seniorly.com/assisted-living/arizona/tolleson
Tucson,tucson,https://www.seniorly.com/assisted-living/arizona/tucson
Waddell,waddell,https://www.seniorly.com/assisted-living/arizona/waddell
Wittmann,wittmann,https://www.seniorly.com/assisted-living/arizona/wittmann
Youngtown,youngtown,https://www.seniorly.com/assisted-living/arizona/youngtown
Yuma,yuma,https://www.seniorly.com/assisted-living/arizona/yuma
