Guilford House,assisted-living_north-carolina_greensboro_guilford-house,https://www.seniorly.com/assisted-living/north-carolina/greensboro/guilford-house,,,,,+18558667661,,,"[""Assisted Living"", ""Memory Care"", ""Independent Living"", ""Nursing Home"", ""Continuing Care""]","{""found"": [""$4,300/mo"", ""$3,800/mo"", ""$5,400/mo"", ""$6,400/mo"", ""$1,980/mo"", ""$4,900/mo"", ""$3,095/mo"", ""$3,440/mo"", ""$2,650/mo"", ""$1,930/mo"", ""$2,800/mo"", ""$3,685/mo"", ""$4,723/mo"", ""$3,500/mo"", ""$2,875/mo"", ""$3,049/mo""]}",,,,,,,50,,
Cherry Springs Village,assisted-living_north-carolina_hendersonville_cherry-springs-village,https://www.seniorly.com/assisted-living/north-carolina/hendersonville/cherry-springs-village,,,,,+18558667661,,,"[""Assisted Living"", ""Memory Care"", ""Independent Living"", ""Nursing Home"", ""Continuing Care""]","{""found"": [""$4,800/mo"", ""$6,150/mo"", ""$7,300/mo"", ""$3,690/mo"", ""$6,185/mo"", ""$4,500/mo"", ""$2,520/mo"", ""$4,700/mo"", ""$9,380/mo"", ""$6,355/mo"", ""$3,540/mo"", ""$4,650/mo"", ""$3,850/mo""]}",,,,,,,50,,
Alamance House,assisted-living_north-carolina_burlington_alamance-house,https://www.seniorly.com/assisted-living/north-carolina/burlington/alamance-house,,,,,+18558667661,,,"[""Assisted Living"", ""Memory Care"", ""Independent Living"", ""Nursing Home"", ""Continuing Care""]","{""found"": [""$5,100/mo"", ""$8,603/mo"", ""$5,500/mo"", ""$6,100/mo"", ""$7,500/mo"", ""$4,300/mo"", ""$4,600/mo"", ""$4,905/mo"", ""$4,260/mo"", ""$4,425/mo"", ""$3,400/mo"", ""$2,700/mo""]}",,,,,,,48,,
Shelby Manor,assisted-living_north-carolina_shelby_shelby-manor,https://www.seniorly.com/assisted-living/north-carolina/shelby/shelby-manor,,,,,+18558667661,,,"[""Assisted Living"", ""Memory Care"", ""Independent Living"", ""Nursing Home"", ""Continuing Care"", ""Board and Care""]","{""found"": [""$5,460/mo"", ""$5,769/mo"", ""$6,030/mo"", ""$6,350/mo"", ""$4,900/mo"", ""$4,720/mo"", ""$4,300/mo"", ""$2,400/mo"", ""$3,420/mo"", ""$3,930/mo"", ""$4,335/mo"", ""$3,850/mo""]}",,,,,,,41,,
Golden Pond Communities,assisted-living_florida_winter-garden_golden-pond-communities,https://www.seniorly.com/assisted-living/florida/winter-garden/golden-pond-communities,,,,,+18558667661,,,"[""Assisted Living"", ""Memory Care"", ""Independent Living"", ""Nursing Home"", ""Continuing Care""]","{""found"": [""$4,820/mo"", ""$4,750/mo"", ""$5,330/mo"", ""$5,610/mo"", ""$3,760/mo"", ""$3,998/mo"", ""$3,900/mo"", ""$3,625/mo"", ""$3,720/mo"", ""$2,790/mo"", ""$4,250/mo"", ""$4,500/mo"", ""$5,400/mo"", ""$5,300/mo"", ""$3,060/mo""]}",,,,,,,50,,
