name,url,rating,review_count,community_count
CiminoCare,https://www.seniorly.com/providers/ciminocare,4,4,14
Civitas Senior Living,https://www.seniorly.com/providers/civitas-senior-living,3.1,25,31
Claiborne Senior Living,https://www.seniorly.com/providers/claiborne-senior-living,2.4,8,16
Cogir Senior Living,https://www.seniorly.com/providers/cogir-senior-living,3.9,80,114
Commonwealth Senior Living,https://www.seniorly.com/providers/commonwealth-senior-living,2.3,3,30
Concordis Senior Living,https://www.seniorly.com/providers/concordis-senior-living,2.8,5,8
Continental Senior Living,https://www.seniorly.com/providers/continental-senior-living,4,4,9
Dial Senior Living,https://www.seniorly.com/providers/dial-senior-living,4.5,15,25
Discovery Senior Living,https://www.seniorly.com/providers/discovery-senior-living,3.8,163,299
Distinctive Living,https://www.seniorly.com/providers/distinctive-living,,,14
Elegance Living,https://www.seniorly.com/providers/elegance-living,3.4,13,24
Enlivant Senior Living,https://www.seniorly.com/providers/enlivant,,,4
Epoch,https://www.seniorly.com/providers/epoch,4.4,7,16
Erickson Senior Living,https://www.seniorly.com/providers/erickson-senior-living,3.6,7,24
Experience Senior Living,https://www.seniorly.com/providers/experience-senior-living,3.6,63,13
Five Star Senior Living,https://www.seniorly.com/providers/five-star-senior-living,,,4
Frontier Senior Living,https://www.seniorly.com/providers/frontier-management,3.9,9,21
Galerie Living,https://www.seniorly.com/providers/galerie-living,3.7,13,9
Gardant Management Solutions,https://www.seniorly.com/providers/gardant-management-solutions,4.1,29,78
Grace Management,https://www.seniorly.com/providers/grace-management,3.9,24,54
Grand Villa Senior Living,https://www.seniorly.com/providers/grand-villa-senior-living,,,13
Greystar,https://www.seniorly.com/providers/greystar,3.3,7,62
Harbor Retirement Associates,https://www.seniorly.com/providers/harbor-retirement-associates,2.8,11,18
Harmony Senior Services,https://www.seniorly.com/providers/harmony-senior-services,2.5,14,34
Holbrook Life,https://www.seniorly.com/providers/holbrook-life,4,3,5
Inspirit Senior Living,https://www.seniorly.com/providers/inspirit-senior-living,4,22,33
Integral Senior Living,https://www.seniorly.com/providers/integral-senior-living,3.9,68,84
Jaybird Senior Living,https://www.seniorly.com/providers/jaybird-senior-living,2.5,6,50
Juniper Communities,https://www.seniorly.com/providers/juniper-communities,4,6,22
Keystone Senior Management,https://www.seniorly.com/providers/keystone-senior,1,3,12
Kisco Senior Living,https://www.seniorly.com/providers/kisco-senior-living,4.4,13,27
Koelsch Communities,https://www.seniorly.com/providers/koelsch-communities,4,11,37
LCB Senior Living,https://www.seniorly.com/providers/lcb-senior-living,2.5,15,38
Legend Senior Living,https://www.seniorly.com/providers/legend-senior-living,3.9,33,78
Leisure Care,https://www.seniorly.com/providers/leisure-care,3.6,13,46
Liberty Senior Living,https://www.seniorly.com/providers/liberty-senior-living,4.3,8,29
Life Care Services,https://www.seniorly.com/providers/life-care-services,3.6,69,135
MBK Senior Living,https://www.seniorly.com/providers/mbk-senior-living,4.2,16,35
Maplewood Senior Living,https://www.seniorly.com/providers/maplewood-senior-living,5,1,2
Meridian Senior Living,https://www.seniorly.com/providers/meridian-senior-living,3.4,10,41
Merrill Gardens Senior Living,https://www.seniorly.com/providers/merrill-gardens,4,39,64
Mira Vie Senior Living,https://www.seniorly.com/providers/mira-vie-senior-living,3.7,3,13
Morning Pointe Senior Living,https://www.seniorly.com/providers/morning-pointe-senior-living,2.6,8,38
MorningStar Senior Living,https://www.seniorly.com/providers/morningstar-senior-living,3.9,13,37
Navion Senior Solutions,https://www.seniorly.com/providers/navion-senior-solutions,4.1,9,51
New Perspective Senior Living,https://www.seniorly.com/providers/new-perspective-senior-living,2.3,17,45
Northbridge Communities,https://www.seniorly.com/providers/northbridge-communities,4.2,5,19
Northstar Senior Living,https://www.seniorly.com/providers/northstar-senior-living,3.6,13,32
Oakmont Senior Living,https://www.seniorly.com/providers/oakmont-management,3.9,99,118
Omega Communities,https://www.seniorly.com/providers/omega-communities,3,2,7
PACS Senior Living,https://www.seniorly.com/providers/pacs-senior-living,2.5,8,37
Pacifica Senior Living,https://www.seniorly.com/providers/pacifica-senior-living,3.9,52,85
Pegasus Senior Living,https://www.seniorly.com/providers/pegasus-senior-living,2.4,25,54
Phoenix Senior Living,https://www.seniorly.com/providers/phoenix-senior-living,3.8,23,39
Presbyterian Senior Living,https://www.seniorly.com/providers/presbyterian-senior-living,,,10
Prestige Care,https://www.seniorly.com/providers/prestige-care,4,3,39
Priority Life Care,https://www.seniorly.com/providers/priority-life-care,3.7,27,70
Provision Living,https://www.seniorly.com/providers/provision-living,,,9
QSL Management,https://www.seniorly.com/providers/qsl-management,3.7,39,51
"Retirement Unlimited, Inc.",https://www.seniorly.com/providers/retirement-unlimited,5,238,10
Sagora Senior Living,https://www.seniorly.com/providers/sagora-senior-living,4.2,71,89
Senior Lifestyle,https://www.seniorly.com/providers/senior-lifestyle,3.5,47,97
Senior Living Communities,https://www.seniorly.com/providers/senior-living-communities,,,14
Senior Resource Group,https://www.seniorly.com/providers/senior-resource-group,4.5,26,21
Senior Services of America,https://www.seniorly.com/providers/senior-services-of-america,4.6,5,19
Senior Star,https://www.seniorly.com/providers/senior-star,1,1,7
SilverPoint Senior Living,https://www.seniorly.com/providers/silverpoint-senior-living,3.7,3,6
Silverado Senior Living,https://www.seniorly.com/providers/silverado-senior-living,5,3,28
Silverstone Senior Living,https://www.seniorly.com/providers/silverstone-senior-living,4.7,3,5
Sinceri Senior Living,https://www.seniorly.com/providers/sinceri-senior-living,3.6,55,138
Sodalis Senior Living,https://www.seniorly.com/providers/sodalis-senior-living,3.8,5,20
Solera Senior Living,https://www.seniorly.com/providers/solera-senior-living,3,12,8
Solvere Senior Living,https://www.seniorly.com/providers/solvere-senior-living,3.7,12,22
Sonida Senior Living,https://www.seniorly.com/providers/sonida-senior-living,4.3,27,96
Spectrum Retirement Communities,https://www.seniorly.com/providers/spectrum-retirement-communities,1.5,17,37
Stellar Senior Living,https://www.seniorly.com/providers/stellar-senior-living,4.2,19,39
StoryPoint Senior Living,https://www.seniorly.com/providers/storypoint-senior-living,3.1,58,169
Sunrise Senior Living,https://www.seniorly.com/providers/sunrise-senior-living,3.8,129,226
Sunshine Retirement Living,https://www.seniorly.com/providers/sunshine-retirement-living,2.2,5,41
TestPartnerCollection,https://www.seniorly.com/providers/testpartnercollection,,,1
The Arbor Company,https://www.seniorly.com/providers/the-arbor-company,4.6,29,49
The Aspenwood Company,https://www.seniorly.com/providers/the-aspenwood-company,2.6,14,19
The Bristal Assisted Living,https://www.seniorly.com/providers/the-bristal-assisted-living,3.1,14,22
The Palace Group,https://www.seniorly.com/providers/the-palace-group,5,7,8
The Ridge Senior Living,https://www.seniorly.com/providers/the-ridge-senior-living,3,2,2
The Springs Living,https://www.seniorly.com/providers/the-springs-living,3.9,7,20
Thrive Senior Living,https://www.seniorly.com/providers/thrive-senior-living,4.4,5,7
Traditions Management,https://www.seniorly.com/providers/traditions-management,3.9,14,25
Trilogy Senior Living,https://www.seniorly.com/providers/trilogy-health-services,3.9,28,126
Tutera Senior Living,https://www.seniorly.com/providers/tutera-senior-living,4.3,17,69
United Group,https://www.seniorly.com/providers/united-group,,,4
Vi Senior Living,https://www.seniorly.com/providers/vi-senior-living,2,1,8
Vitality Living,https://www.seniorly.com/providers/vitality-living,3.9,15,35
Watercrest Senior Living,https://www.seniorly.com/providers/watercrest-senior-living,2.9,7,11
Watermark Retirement,https://www.seniorly.com/providers/watermark-retirement,3.7,27,42
WellQuest Living,https://www.seniorly.com/providers/wellquest-living,4.2,18,17
Westmont Living,https://www.seniorly.com/providers/westmont-living,4.3,12,20
