name,url,rating,review_count,community_count
ALG Senior,https://www.seniorly.com/providers/alg-senior,3,14,83
Aegis Living,https://www.seniorly.com/providers/aegis-living,4.1,31,39
Agemark Senior Living,https://www.seniorly.com/providers/agemark-senior-living,4.2,5,30
Alta Senior Living,https://www.seniorly.com/providers/alta-senior-living,5,3,5
American House,https://www.seniorly.com/providers/american-house,3.8,28,56
Americare Senior Living,https://www.seniorly.com/providers/americare-senior-living,2.3,3,115
Anthem Memory Care,https://www.seniorly.com/providers/anthem-memory-care,2.4,5,21
Anthology Senior Living,https://www.seniorly.com/providers/anthology-senior-living,,,2
Arrow Senior Living,https://www.seniorly.com/providers/arrow-senior-living,3.9,13,39
Artis Senior Living,https://www.seniorly.com/providers/artis-senior-living,3,3,24
Atlas Senior Living,https://www.seniorly.com/providers/atlas-senior-living,3.6,11,36
Atria Senior Living,https://www.seniorly.com/providers/atria-senior-living,4.2,107,181
Aviva Senior Living,https://www.seniorly.com/providers/aviva-senior-living,5,2,5
Belmont Village Senior Living,https://www.seniorly.com/providers/belmont-village-senior-living,4.6,75,33
Benchmark Senior Living,https://www.seniorly.com/providers/benchmark-senior-living,3.5,11,64
Bickford Senior Living,https://www.seniorly.com/providers/bickford-senior-living,1,1,53
Blake Living,https://www.seniorly.com/providers/blake-living,,,4
Brandywine Living,https://www.seniorly.com/providers/brandywine-living,,,1
Bridge Senior Living,https://www.seniorly.com/providers/bridge-senior-living,2.7,6,26
Brightview Senior Living,https://www.seniorly.com/providers/brightview-senior-living,4.7,21,54
Brookdale Senior Living,https://www.seniorly.com/providers/brookdale,4,243,529
Capri Communities,https://www.seniorly.com/providers/capri-communities,2.8,4,17
Cedarhurst Senior Living,https://www.seniorly.com/providers/cedarhurst-senior-living,2,16,53
Century Park Associates,https://www.seniorly.com/providers/century-park-associates,3.8,13,36
Charter Senior Living,https://www.seniorly.com/providers/charter-senior-living,3.6,20,72
Chelsea Senior Living,https://www.seniorly.com/providers/chelsea-senior-living,3.5,2,12
